lat,lon,ele,time,timestamp
0,0,-17,2025-05-20T01:20:53.399Z,218.218
0,0,-17,2025-05-20T01:20:54.399Z,219.219
0,0,-17,2025-05-20T01:20:55.399Z,220.22
0,0,-17,2025-05-20T01:20:56.399Z,221.221
0,0,-17,2025-05-20T01:20:57.399Z,222.222
0,0,-17,2025-05-20T01:20:58.399Z,223.223
0,0,-17,2025-05-20T01:20:59.399Z,224.224
0,0,-17,2025-05-20T01:21:00.399Z,225.225
0,0,-17,2025-05-20T01:21:01.399Z,226.226
0,0,-17,2025-05-20T01:21:02.399Z,227.227
0,0,-17,2025-05-20T01:21:03.399Z,228.228
0,0,-17,2025-05-20T01:21:04.399Z,229.229
0,0,-17,2025-05-20T01:21:05.399Z,230.23
0,0,-17,2025-05-20T01:21:06.399Z,231.231
0,0,-17,2025-05-20T01:21:07.399Z,232.232
0,0,-17,2025-05-20T01:21:08.399Z,233.233
0,0,-17,2025-05-20T01:21:09.399Z,234.234
0,0,-17,2025-05-20T01:21:10.399Z,235.235
0,0,-17,2025-05-20T01:21:11.399Z,236.236
0,0,-17,2025-05-20T01:21:12.399Z,237.237
0,0,-17,2025-05-20T01:21:13.399Z,238.238
0,0,-17,2025-05-20T01:21:14.399Z,239.239
0,0,-17,2025-05-20T01:21:15.399Z,240.24
0,0,-17,2025-05-20T01:21:16.399Z,241.241
0,0,-17,2025-05-20T01:21:17.399Z,242.242
0,0,-17,2025-05-20T01:21:18.399Z,243.243
0,0,-17,2025-05-20T01:21:19.399Z,244.244
0,0,-17,2025-05-20T01:21:20.399Z,245.245
0,0,-17,2025-05-20T01:21:21.399Z,246.246
0,0,-17,2025-05-20T01:21:22.399Z,247.247
0,0,-17,2025-05-20T01:21:23.399Z,248.248
0,0,-17,2025-05-20T01:21:24.399Z,249.249
0,0,-17,2025-05-20T01:21:25.399Z,250.25
0,0,-17,2025-05-20T01:21:26.399Z,251.251
0,0,-17,2025-05-20T01:21:27.399Z,252.252
0,0,-17,2025-05-20T01:21:28.399Z,253.253
0,0,-17,2025-05-20T01:21:29.399Z,254.254
0,0,-17,2025-05-20T01:21:30.399Z,255.255
0,0,-17,2025-05-20T01:21:31.399Z,256.256
0,0,-17,2025-05-20T01:21:32.399Z,257.257
0,0,-17,2025-05-20T01:21:33.399Z,258.258
0,0,-17,2025-05-20T01:21:34.399Z,259.259
0,0,-17,2025-05-20T01:21:35.399Z,260.26
0,0,-17,2025-05-20T01:21:36.399Z,261.261
0,0,-17,2025-05-20T01:21:37.399Z,262.262
0,0,-17,2025-05-20T01:21:38.399Z,263.263
0,0,-17,2025-05-20T01:21:39.399Z,264.264
0,0,-17,2025-05-20T01:21:40.399Z,265.265
0,0,-17,2025-05-20T01:21:41.399Z,266.266
0,0,-17,2025-05-20T01:21:42.399Z,267.267
0,0,-17,2025-05-20T01:21:43.399Z,268.268
0,0,-17,2025-05-20T01:21:44.399Z,269.269
0,0,-17,2025-05-20T01:21:45.399Z,270.27
0,0,-17,2025-05-20T01:21:46.399Z,271.271
0,0,-17,2025-05-20T01:21:47.399Z,272.272
0,0,-17,2025-05-20T01:21:48.399Z,273.273
0,0,-17,2025-05-20T01:21:49.399Z,274.274
0,0,-17,2025-05-20T01:21:50.399Z,275.275
0,0,-17,2025-05-20T01:21:51.399Z,276.276
0,0,-17,2025-05-20T01:21:52.399Z,277.277
0,0,-17,2025-05-20T01:21:53.399Z,278.278
0,0,-17,2025-05-20T01:21:54.399Z,279.279
0,0,-17,2025-05-20T01:21:55.399Z,280.28
0,0,-17,2025-05-20T01:21:56.399Z,281.281
0,0,-17,2025-05-20T01:21:57.499Z,282.282
0,0,-17,2025-05-20T01:21:58.399Z,283.283
0,0,-17,2025-05-20T01:21:59.399Z,284.284
0,0,-17,2025-05-20T01:22:00.399Z,285.285
0,0,-17,2025-05-20T01:22:01.399Z,286.286
0,0,-17,2025-05-20T01:22:02.399Z,287.287
0,0,-17,2025-05-20T01:22:03.399Z,288.288
0,0,-17,2025-05-20T01:22:04.399Z,289.289
0,0,-17,2025-05-20T01:22:05.399Z,290.29
0,0,-17,2025-05-20T01:22:06.399Z,291.291
0,0,-17,2025-05-20T01:22:07.399Z,292.292
0,0,-17,2025-05-20T01:22:08.399Z,293.293
0,0,-17,2025-05-20T01:22:09.399Z,294.294
0,0,-17,2025-05-20T01:22:10.399Z,295.295
0,0,-17,2025-05-20T01:22:11.499Z,296.296
0,0,-17,2025-05-20T01:22:12.499Z,297.297
0,0,-17,2025-05-20T01:22:13.399Z,298.298
0,0,-17,2025-05-20T01:22:14.399Z,299.299
